gps_time,x,y,z,ve(m/s),vn(m/s),vu(m/s),roll(rad),pitch(rad),yaw(rad)
2024-12-27-07-45-49-207,11845012.215169,3497256.423894,60.742298,0.985400,-0.031800,0.007900,0.016243,0.001557,1.633474
2024-12-27-07-45-49-215,11845012.223805,3497256.423663,60.742401,0.985900,-0.032200,0.006500,0.016236,0.001539,1.633477
2024-12-27-07-45-49-223,11845012.232430,3497256.423423,60.742401,0.985100,-0.033300,0.005800,0.016187,0.001526,1.633481
2024-12-27-07-45-49-231,11845012.232430,3497256.423423,60.742401,0.985100,-0.033300,0.005800,0.016187,0.001526,1.633481
2024-12-27-07-45-49-239,11845012.249681,3497256.422968,60.742599,0.984000,-0.031400,0.006600,0.016169,0.001503,1.633466
2024-12-27-07-45-49-247,11845012.258312,3497256.422739,60.742599,0.984700,-0.031300,0.010100,0.016158,0.001508,1.633463
2024-12-27-07-45-49-255,11845012.267135,3497256.422856,60.742500,0.985500,-0.029900,0.009300,0.016149,0.001513,1.633464
2024-12-27-07-45-49-263,11845012.275811,3497256.422773,60.742599,0.984700,-0.030100,0.011300,0.016116,0.001491,1.633467
2024-12-27-07-45-49-271,11845012.284484,3497256.422687,60.742699,0.983900,-0.030600,0.012400,0.016109,0.001475,1.633461
2024-12-27-07-45-49-279,11845012.293165,3497256.422602,60.742699,0.984400,-0.031000,0.012900,0.016122,0.001470,1.633466
2024-12-27-07-45-49-287,11845012.301843,3497256.422514,60.742802,0.984400,-0.031200,0.013200,0.016126,0.001461,1.633464
2024-12-27-07-45-49-295,11845012.310512,3497256.422415,60.742901,0.983700,-0.032600,0.013400,0.016115,0.001448,1.633457
2024-12-27-07-45-49-303,11845012.319192,3497256.422331,60.743000,0.984400,-0.031500,0.014100,0.016120,0.001429,1.633450
2024-12-27-07-45-49-311,11845012.327868,3497256.422245,60.743099,0.984400,-0.031000,0.013500,0.016134,0.001420,1.633464
2024-12-27-07-45-49-319,11845012.336530,3497256.422162,60.743198,0.983100,-0.030500,0.015400,0.016152,0.001413,1.633459
2024-12-27-07-45-49-327,11845012.345197,3497256.422087,60.743301,0.982900,-0.029400,0.015600,0.016171,0.001428,1.633455
2024-12-27-07-45-49-335,11845012.353854,3497256.422005,60.743401,0.982100,-0.029700,0.014400,0.016169,0.001401,1.633456
2024-12-27-07-45-49-343,11845012.362517,3497256.421924,60.743500,0.982300,-0.029800,0.014500,0.016181,0.001416,1.633439
2024-12-27-07-45-49-351,11845012.371185,3497256.421843,60.743500,0.983100,-0.029900,0.012300,0.016190,0.001407,1.633437
2024-12-27-07-45-49-359,11845012.379848,3497256.421761,60.743599,0.983000,-0.030100,0.011100,0.016165,0.001408,1.633432
2024-12-27-07-45-49-367,11845012.388509,3497256.421675,60.743599,0.982800,-0.030600,0.008600,0.016171,0.001381,1.633429
2024-12-27-07-45-49-375,11845012.397178,3497256.421587,60.743698,0.983400,-0.031100,0.008700,0.016155,0.001361,1.633432
2024-12-27-07-45-49-383,11845012.405837,3497256.421498,60.743801,0.982700,-0.031300,0.008400,0.016122,0.001356,1.633451
2024-12-27-07-45-49-391,11845012.414480,3497256.421400,60.743801,0.981000,-0.032100,0.011100,0.016094,0.001334,1.633431
2024-12-27-07-45-49-399,11845012.423137,3497256.421306,60.743900,0.981500,-0.032100,0.009700,0.016092,0.001339,1.633429
2024-12-27-07-45-49-407,11845012.431786,3497256.421216,60.743999,0.981200,-0.031500,0.013400,0.016079,0.001342,1.633425
2024-12-27-07-45-49-415,11845012.440449,3497256.421124,60.743999,0.982500,-0.031300,0.012700,0.016054,0.001323,1.633421
2024-12-27-07-45-49-423,11845012.449097,3497256.421034,60.744099,0.981700,-0.031000,0.013100,0.016043,0.001313,1.633425
2024-12-27-07-45-49-431,11845012.457740,3497256.420943,60.744202,0.980900,-0.031100,0.015100,0.016034,0.001295,1.633427
2024-12-27-07-45-49-439,11845012.466394,3497256.420852,60.744301,0.981500,-0.031100,0.015500,0.016029,0.001282,1.633426
2024-12-27-07-45-49-447,11845012.475044,3497256.420747,60.744400,0.981600,-0.032500,0.015600,0.016005,0.001252,1.633415
2024-12-27-07-45-49-455,11845012.483707,3497256.420652,60.744499,0.982700,-0.032200,0.015300,0.016008,0.001244,1.633414
2024-12-27-07-45-49-463,11845012.492364,3497256.420563,60.744598,0.982700,-0.031100,0.015400,0.016015,0.001218,1.633404
2024-12-27-07-45-49-471,11845012.501022,3497256.420477,60.744701,0.982700,-0.030300,0.014700,0.016018,0.001208,1.633395
2024-12-27-07-45-49-479,11845012.509688,3497256.420391,60.744801,0.983300,-0.030000,0.015700,0.016061,0.001200,1.633388
2024-12-27-07-45-49-487,11845012.518346,3497256.420310,60.744900,0.982900,-0.029400,0.016000,0.016056,0.001178,1.633394
2024-12-27-07-45-49-495,11845012.526996,3497256.420217,60.744999,0.981900,-0.030400,0.016300,0.016082,0.001182,1.633384
2024-12-27-07-45-49-503,11845012.535658,3497256.420121,60.745098,0.982500,-0.031400,0.014500,0.016096,0.001161,1.633371
2024-12-27-07-45-49-511,11845012.544322,3497256.420018,60.745201,0.983100,-0.032400,0.010400,0.016099,0.001158,1.633360
2024-12-27-07-45-49-519,11845012.552985,3497256.419912,60.745201,0.983300,-0.033200,0.009200,0.016099,0.001148,1.633356
2024-12-27-07-45-49-527,11845012.561659,3497256.419802,60.745300,0.984300,-0.033700,0.005200,0.016092,0.001119,1.633333
2024-12-27-07-45-49-535,11845012.570349,3497256.419693,60.745300,0.986200,-0.033700,0.003500,0.016073,0.001117,1.633334
2024-12-27-07-45-49-543,11845012.579024,3497256.419589,60.745300,0.985500,-0.033100,0.004000,0.016067,0.001090,1.633333
2024-12-27-07-45-49-551,11845012.587696,3497256.419485,60.745300,0.984700,-0.032600,0.004100,0.016062,0.001081,1.633329
2024-12-27-07-45-49-559,11845012.596383,3497256.419380,60.745300,0.985600,-0.032300,0.004700,0.016053,0.001077,1.633315
2024-12-27-07-45-49-567,11845012.605074,3497256.419274,60.745399,0.986400,-0.032500,0.003700,0.016037,0.001056,1.633310
2024-12-27-07-45-49-583,11845012.622469,3497256.419053,60.745399,0.987400,-0.033600,0.003000,0.016007,0.001040,1.633304
2024-12-27-07-45-49-592,11845012.631175,3497256.418944,60.745399,0.988300,-0.033300,0.005400,0.016002,0.001018,1.633303
2024-12-27-07-45-49-600,11845012.639875,3497256.418834,60.745399,0.988000,-0.033200,0.008200,0.016005,0.000994,1.633289
2024-12-27-07-45-49-608,11845012.648575,3497256.418726,60.745499,0.987700,-0.033000,0.010300,0.016012,0.000971,1.633289
2024-12-27-07-45-49-616,11845012.657289,3497256.418622,60.745602,0.988800,-0.032400,0.011600,0.016034,0.000981,1.633272
2024-12-27-07-45-49-624,11845012.666007,3497256.418522,60.745602,0.989700,-0.031600,0.010900,0.016064,0.000967,1.633274
2024-12-27-07-45-49-632,11845012.674714,3497256.418431,60.745701,0.989000,-0.030400,0.010900,0.016090,0.000943,1.633270
2024-12-27-07-45-49-640,11845012.683431,3497256.418339,60.745701,0.989400,-0.030000,0.008600,0.016115,0.000925,1.633270
2024-12-27-07-45-49-648,11845012.692146,3497256.418244,60.745800,0.989400,-0.030300,0.008300,0.016127,0.000916,1.633261
2024-12-27-07-45-49-656,11845012.700862,3497256.418145,60.745800,0.989500,-0.031000,0.007700,0.016123,0.000912,1.633266
2024-12-27-07-45-49-664,11845012.709578,3497256.418039,60.745800,0.989500,-0.032000,0.005200,0.016136,0.000903,1.633243
2024-12-27-07-45-49-672,11845012.718307,3497256.417925,60.745800,0.990600,-0.033500,0.003600,0.016136,0.000907,1.633249
2024-12-27-07-45-49-680,11845012.727038,3497256.417805,60.745800,0.991300,-0.034400,0.000700,0.016108,0.000909,1.633225
2024-12-27-07-45-49-688,11845012.735771,3497256.417680,60.745800,0.991700,-0.035300,-0.000400,0.016061,0.000882,1.633230
2024-12-27-07-45-49-696,11845012.744510,3497256.417559,60.745800,0.992200,-0.035000,-0.000200,0.016044,0.000895,1.633224
2024-12-27-07-45-49-704,11845012.753240,3497256.417449,60.745800,0.991700,-0.033500,-0.001900,0.016003,0.000871,1.633232
2024-12-27-07-45-49-711,11845012.761959,3497256.417347,60.745800,0.990300,-0.031600,0.002700,0.015957,0.000858,1.633225
2024-12-27-07-45-49-719,11845012.770694,3497256.417259,60.745800,0.991000,-0.029400,0.003900,0.015939,0.000854,1.633212
2024-12-27-07-45-49-727,11845012.779429,3497256.417182,60.745800,0.991500,-0.027500,0.006700,0.015909,0.000856,1.633214
2024-12-27-07-45-49-735,11845012.788166,3497256.417099,60.745800,0.991900,-0.027600,0.005700,0.015887,0.000862,1.633216
2024-12-27-07-45-49-743,11845012.796905,3497256.417016,60.745899,0.992200,-0.028100,0.007400,0.015876,0.000845,1.633230
2024-12-27-07-45-49-751,11845012.805651,3497256.416927,60.745899,0.993000,-0.029100,0.007800,0.015856,0.000819,1.633224
2024-12-27-07-45-49-759,11845012.814393,3497256.416834,60.745998,0.992900,-0.030000,0.009700,0.015843,0.000815,1.633231
2024-12-27-07-45-49-767,11845012.823130,3497256.416730,60.745998,0.992200,-0.031600,0.010600,0.015851,0.000809,1.633222
2024-12-27-07-45-49-775,11845012.831865,3497256.416637,60.746101,0.991800,-0.030800,0.013000,0.015845,0.000775,1.633201
2024-12-27-07-45-49-783,11845012.840598,3497256.416552,60.746201,0.991400,-0.029500,0.013300,0.015862,0.000772,1.633197
2024-12-27-07-45-49-791,11845012.849334,3497256.416472,60.746300,0.991600,-0.028200,0.013400,0.015884,0.000764,1.633186
2024-12-27-07-45-49-799,11845012.858073,3497256.416397,60.746300,0.992000,-0.027200,0.011800,0.015889,0.000767,1.633185
2024-12-27-07-45-49-807,11845012.866809,3497256.416330,60.746399,0.992000,-0.026200,0.013500,0.015903,0.000745,1.633195
2024-12-27-07-45-49-815,11845012.875551,3497256.416252,60.746498,0.992500,-0.026900,0.010100,0.015921,0.000730,1.633195
2024-12-27-07-45-49-823,11845012.884283,3497256.416174,60.746498,0.991800,-0.027500,0.007500,0.015923,0.000719,1.633187
2024-12-27-07-45-49-831,11845012.893032,3497256.416084,60.746498,0.993000,-0.028900,0.005500,0.015912,0.000720,1.633178
2024-12-27-07-45-49-839,11845012.901779,3497256.415986,60.746601,0.993500,-0.030600,0.003400,0.015887,0.000690,1.633169
2024-12-27-07-45-49-847,11845012.910530,3497256.415884,60.746601,0.993900,-0.031500,0.003300,0.015878,0.000705,1.633163
2024-12-27-07-45-49-855,11845012.919266,3497256.415786,60.746601,0.992600,-0.031400,0.001400,0.015885,0.000686,1.633169
2024-12-27-07-45-49-863,11845012.928008,3497256.415695,60.746601,0.992500,-0.030100,0.001900,0.015882,0.000664,1.633151
2024-12-27-07-45-49-871,11845012.936762,3497256.415604,60.746601,0.993500,-0.029400,0.001700,0.015869,0.000666,1.633144
2024-12-27-07-45-49-879,11845012.945510,3497256.415523,60.746601,0.993600,-0.028100,0.001600,0.015872,0.000669,1.633142
2024-12-27-07-45-49-887,11845012.954273,3497256.415443,60.746601,0.994900,-0.027400,0.001900,0.015885,0.000686,1.633135
2024-12-27-07-45-49-895,11845012.963042,3497256.415356,60.746498,0.995900,-0.028100,-0.001400,0.015882,0.000666,1.633147
2024-12-27-07-45-49-903,11845012.971807,3497256.415275,60.746498,0.996000,-0.028000,-0.000500,0.015890,0.000641,1.633149
2024-12-27-07-45-49-911,11845012.980570,3497256.415179,60.746498,0.995600,-0.029400,-0.000500,0.015913,0.000640,1.633142
2024-12-27-07-45-49-919,11845012.989336,3497256.415078,60.746498,0.995600,-0.030700,0.000800,0.015944,0.000641,1.633141
2024-12-27-07-45-49-927,11845012.998109,3497256.414979,60.746498,0.996200,-0.030800,0.001500,0.015975,0.000663,1.633129
2024-12-27-07-45-49-935,11845013.006832,3497256.414760,60.746399,0.995900,-0.030800,-0.000600,0.016006,0.000655,1.633119
2024-12-27-07-45-49-943,11845013.015552,3497256.414546,60.746498,0.995600,-0.030100,0.000400,0.016045,0.000644,1.633121
2024-12-27-07-45-49-951,11845013.024282,3497256.414332,60.746399,0.996300,-0.029900,-0.001700,0.016067,0.000626,1.633127
2024-12-27-07-45-49-959,11845013.033015,3497256.414112,60.746399,0.996900,-0.030200,-0.000700,0.016078,0.000640,1.633125
2024-12-27-07-45-49-967,11845013.041744,3497256.413893,60.746399,0.996700,-0.030400,-0.002700,0.016080,0.000637,1.633126
2024-12-27-07-45-49-975,11845013.050477,3497256.413668,60.746399,0.996900,-0.031000,-0.005000,0.016076,0.000642,1.633131
2024-12-27-07-45-49-983,11845013.059202,3497256.413435,60.746300,0.996200,-0.032200,-0.005900,0.016081,0.000650,1.633127
2024-12-27-07-45-49-991,11845013.067948,3497256.413194,60.746300,0.997900,-0.033500,-0.006900,0.016051,0.000660,1.633113
2024-12-27-07-45-49-999,11845013.076692,3497256.412953,60.746201,0.998300,-0.034000,-0.008400,0.016026,0.000652,1.633113
2024-12-27-07-45-50-007,11845013.085430,3497256.412706,60.746201,0.998000,-0.034600,-0.008900,0.015985,0.000649,1.633120
2024-12-27-07-45-50-015,11845013.094160,3497256.412461,60.746101,0.997000,-0.034500,-0.006800,0.015954,0.000637,1.633111
2024-12-27-07-45-50-023,11845013.102896,3497256.412224,60.746101,0.996900,-0.033400,-0.002500,0.015924,0.000642,1.633102
2024-12-27-07-45-50-031,11845013.111629,3497256.412000,60.746101,0.996800,-0.031500,0.000800,0.015919,0.000632,1.633103
2024-12-27-07-45-50-039,11845013.120363,3497256.411779,60.746101,0.996900,-0.030200,0.003000,0.015906,0.000619,1.633097
2024-12-27-07-45-50-047,11845013.129093,3497256.411565,60.746201,0.996500,-0.029300,0.005400,0.015918,0.000650,1.633102
2024-12-27-07-45-50-055,11845013.137834,3497256.411347,60.746201,0.997400,-0.029500,0.005400,0.015909,0.000616,1.633111
2024-12-27-07-45-50-063,11845013.146569,3497256.411121,60.746201,0.997300,-0.030600,0.007500,0.015889,0.000607,1.633105
2024-12-27-07-45-50-071,11845013.155301,3497256.410889,60.746300,0.996900,-0.032000,0.009000,0.015880,0.000595,1.633111
2024-12-27-07-45-50-079,11845013.164037,3497256.410654,60.746399,0.997000,-0.032800,0.009800,0.015888,0.000591,1.633108
2024-12-27-07-45-50-087,11845013.172766,3497256.410426,60.746399,0.996600,-0.032300,0.009800,0.015891,0.000571,1.633101
2024-12-27-07-45-50-095,11845013.181486,3497256.410207,60.746498,0.995500,-0.030900,0.011800,0.015889,0.000549,1.633098
2024-12-27-07-45-50-103,11845013.190205,3497256.409995,60.746601,0.995000,-0.029500,0.011600,0.015909,0.000563,1.633111
2024-12-27-07-45-50-111,11845013.198925,3497256.409785,60.746700,0.995000,-0.028700,0.013900,0.015921,0.000547,1.633100
2024-12-27-07-45-50-119,11845013.207641,3497256.409580,60.746799,0.994800,-0.027900,0.013300,0.015935,0.000551,1.633093
2024-12-27-07-45-50-135,11845013.225073,3497256.409159,60.747002,0.994700,-0.029100,0.008600,0.015980,0.000528,1.633088
2024-12-27-07-45-50-143,11845013.233802,3497256.408939,60.747002,0.996000,-0.030400,0.006300,0.015982,0.000522,1.633097
2024-12-27-07-45-50-151,11845013.242521,3497256.408708,60.747101,0.995800,-0.032000,0.002900,0.015952,0.000513,1.633079
2024-12-27-07-45-50-159,11845013.251241,3497256.408474,60.747101,0.995500,-0.033000,0.001600,0.015923,0.000490,1.633086
2024-12-27-07-45-50-167,11845013.259950,3497256.408235,60.747101,0.994400,-0.033700,0.001800,0.015908,0.000493,1.633088
2024-12-27-07-45-50-175,11845013.268653,3497256.407998,60.747200,0.993400,-0.033500,0.001900,0.015879,0.000478,1.633072
2024-12-27-07-45-50-183,11845013.277365,3497256.407762,60.747200,0.993800,-0.033200,0.002700,0.015879,0.000495,1.633070
2024-12-27-07-45-50-191,11845013.286084,3497256.407528,60.747200,0.994900,-0.032600,0.001000,0.015872,0.000493,1.633056
2024-12-27-07-45-50-199,11845013.294801,3497256.407300,60.747200,0.995100,-0.031800,0.001100,0.015823,0.000481,1.633066
2024-12-27-07-45-50-207,11845013.303510,3497256.407063,60.747200,0.994500,-0.032400,0.000900,0.015823,0.000465,1.633062
2024-12-27-07-45-50-215,11845013.312230,3497256.406824,60.747200,0.995200,-0.033000,0.001400,0.015822,0.000453,1.633059
2024-12-27-07-45-50-223,11845013.320944,3497256.406585,60.747299,0.995000,-0.033300,0.003200,0.015804,0.000433,1.633055
2024-12-27-07-45-50-231,11845013.329653,3497256.406335,60.747299,0.994300,-0.034500,0.004000,0.015827,0.000438,1.633032
2024-12-27-07-45-50-239,11845013.338363,3497256.406090,60.747299,0.994100,-0.034500,0.003000,0.015871,0.000458,1.633016
2024-12-27-07-45-50-247,11845013.347087,3497256.405851,60.747299,0.995400,-0.033700,0.001900,0.015890,0.000449,1.633010
2024-12-27-07-45-50-255,11845013.355793,3497256.405608,60.747299,0.994300,-0.033700,0.000800,0.015913,0.000437,1.632998
2024-12-27-07-45-50-263,11845013.364625,3497256.405617,60.747299,0.993400,-0.033500,0.000600,0.015945,0.000421,1.632988
2024-12-27-07-45-50-271,11845013.373370,3497256.405474,60.747200,0.993200,-0.033900,0.000100,0.015961,0.000420,1.632990
2024-12-27-07-45-50-279,11845013.382130,3497256.405319,60.747200,0.994500,-0.035400,-0.000600,0.015987,0.000429,1.632965
2024-12-27-07-45-50-287,11845013.390875,3497256.405161,60.747200,0.993800,-0.036400,-0.003300,0.015975,0.000416,1.632958
2024-12-27-07-45-50-295,11845013.399631,3497256.404991,60.747101,0.994400,-0.037900,-0.006400,0.015997,0.000433,1.632941
2024-12-27-07-45-50-303,11845013.408406,3497256.404807,60.747002,0.996500,-0.039900,-0.009900,0.016005,0.000432,1.632923
2024-12-27-07-45-50-311,11845013.417166,3497256.404628,60.746899,0.996000,-0.040000,-0.010200,0.015983,0.000411,1.632910
2024-12-27-07-45-50-319,11845013.425915,3497256.404447,60.746799,0.994600,-0.039900,-0.008300,0.015989,0.000408,1.632889
2024-12-27-07-45-50-327,11845013.434667,3497256.404268,60.746700,0.994100,-0.039500,-0.006800,0.016013,0.000410,1.632881
2024-12-27-07-45-50-335,11845013.443416,3497256.404095,60.746700,0.993700,-0.038500,-0.004500,0.016003,0.000428,1.632874
2024-12-27-07-45-50-343,11845013.452173,3497256.403917,60.746601,0.994400,-0.038400,-0.003700,0.016007,0.000446,1.632855
2024-12-27-07-45-50-351,11845013.460939,3497256.403743,60.746498,0.995600,-0.038000,-0.004200,0.015976,0.000423,1.632823
2024-12-27-07-45-50-359,11845013.469690,3497256.403564,60.746498,0.994800,-0.038600,-0.002400,0.015965,0.000427,1.632835
2024-12-27-07-45-50-367,11845013.478444,3497256.403382,60.746498,0.994700,-0.039200,-0.000000,0.015959,0.000417,1.632824
2024-12-27-07-45-50-375,11845013.487199,3497256.403192,60.746498,0.994600,-0.040200,0.002700,0.015959,0.000426,1.632810
2024-12-27-07-45-50-383,11845013.495953,3497256.403008,60.746498,0.994500,-0.040000,0.005300,0.015972,0.000408,1.632787
2024-12-27-07-45-50-391,11845013.504702,3497256.402832,60.746498,0.994100,-0.038900,0.006300,0.016004,0.000409,1.632768
2024-12-27-07-45-50-399,11845013.513445,3497256.402664,60.746498,0.993300,-0.037500,0.005600,0.016026,0.000423,1.632764
2024-12-27-07-45-50-407,11845013.522200,3497256.402498,60.746498,0.994200,-0.036700,0.005600,0.016039,0.000421,1.632762
2024-12-27-07-45-50-415,11845013.530946,3497256.402346,60.746498,0.993900,-0.034800,0.003500,0.016030,0.000414,1.632746
2024-12-27-07-45-50-423,11845013.539674,3497256.402195,60.746498,0.992000,-0.034200,0.005400,0.016049,0.000390,1.632745
2024-12-27-07-45-50-431,11845013.548399,3497256.402041,60.746498,0.991000,-0.034300,0.004400,0.016044,0.000414,1.632733
2024-12-27-07-45-50-439,11845013.557142,3497256.401890,60.746498,0.992300,-0.034300,0.004900,0.016040,0.000424,1.632710
2024-12-27-07-45-50-447,11845013.565881,3497256.401738,60.746498,0.992800,-0.034600,0.002000,0.016034,0.000423,1.632696
2024-12-27-07-45-50-455,11845013.574619,3497256.401586,60.746498,0.992900,-0.034800,0.000900,0.016027,0.000417,1.632702
2024-12-27-07-45-50-463,11845013.583362,3497256.401422,60.746399,0.993400,-0.036100,-0.002300,0.015983,0.000410,1.632701
2024-12-27-07-45-50-471,11845013.592103,3497256.401263,60.746399,0.993500,-0.036300,-0.004600,0.015926,0.000384,1.632701
2024-12-27-07-45-50-479,11845013.600829,3497256.401107,60.746300,0.992000,-0.035800,-0.004400,0.015861,0.000378,1.632705
2024-12-27-07-45-50-487,11845013.609540,3497256.400957,60.746300,0.989900,-0.034700,-0.003300,0.015796,0.000373,1.632705
2024-12-27-07-45-50-495,11845013.618267,3497256.400823,60.746300,0.990600,-0.032500,0.000300,0.015758,0.000386,1.632690
2024-12-27-07-45-50-503,11845013.627010,3497256.400696,60.746201,0.992600,-0.030700,-0.000700,0.015717,0.000403,1.632663
2024-12-27-07-45-50-511,11845013.635736,3497256.400590,60.746201,0.992100,-0.028100,0.001000,0.015677,0.000394,1.632673
2024-12-27-07-45-50-519,11845013.644461,3497256.400484,60.746201,0.991700,-0.027400,0.001800,0.015655,0.000377,1.632696
2024-12-27-07-45-50-527,11845013.653196,3497256.400382,60.746201,0.992300,-0.026900,0.004300,0.015642,0.000362,1.632695
2024-12-27-07-45-50-535,11845013.661934,3497256.400282,60.746201,0.992900,-0.026800,0.006100,0.015649,0.000355,1.632695
2024-12-27-07-45-50-543,11845013.670647,3497256.400186,60.746201,0.990900,-0.026500,0.006300,0.015653,0.000331,1.632680
2024-12-27-07-45-50-551,11845013.679375,3497256.400092,60.746300,0.991200,-0.026300,0.005500,0.015665,0.000351,1.632678
2024-12-27-07-45-50-559,11845013.688097,3497256.400011,60.746300,0.991000,-0.024900,0.004800,0.015672,0.000340,1.632676
2024-12-27-07-45-50-567,11845013.696811,3497256.399927,60.746300,0.990200,-0.024700,0.003500,0.015663,0.000324,1.632679
2024-12-27-07-45-50-575,11845013.705522,3497256.399855,60.746300,0.989700,-0.023400,0.004700,0.015668,0.000324,1.632678
2024-12-27-07-45-50-583,11845013.714229,3497256.399778,60.746300,0.989200,-0.023600,0.001900,0.015678,0.000304,1.632690
2024-12-27-07-45-50-591,11845013.722949,3497256.399695,60.746201,0.990300,-0.024500,0.001200,0.015671,0.000314,1.632672
2024-12-27-07-45-50-599,11845013.731683,3497256.399609,60.746201,0.992100,-0.025100,-0.003700,0.015657,0.000308,1.632655
2024-12-27-07-45-50-607,11845013.740412,3497256.399514,60.746101,0.992500,-0.026600,-0.007900,0.015631,0.000320,1.632661
2024-12-27-07-45-50-615,11845013.749141,3497256.399414,60.745998,0.992500,-0.027500,-0.011100,0.015593,0.000309,1.632648
2024-12-27-07-45-50-623,11845013.757867,3497256.399316,60.745899,0.992000,-0.027800,-0.011500,0.015537,0.000306,1.632670
2024-12-27-07-45-50-631,11845013.766585,3497256.399212,60.745800,0.991000,-0.028100,-0.009900,0.015512,0.000294,1.632649
2024-12-27-07-45-50-639,11845013.775290,3497256.399115,60.745701,0.989400,-0.027400,-0.007700,0.015464,0.000295,1.632649
2024-12-27-07-45-50-647,11845013.783997,3497256.399013,60.745701,0.988900,-0.027500,-0.004500,0.015435,0.000317,1.632636
2024-12-27-07-45-50-655,11845013.792714,3497256.398911,60.745602,0.989800,-0.027500,-0.003500,0.015393,0.000321,1.632624
2024-12-27-07-45-50-663,11845013.801431,3497256.398814,60.745499,0.990500,-0.027000,-0.003900,0.015346,0.000307,1.632629
2024-12-27-07-45-50-671,11845013.810137,3497256.398713,60.745499,0.989800,-0.027200,-0.000900,0.015329,0.000278,1.632627
2024-12-27-07-45-50-679,11845013.818839,3497256.398610,60.745499,0.989100,-0.027500,0.000000,0.015286,0.000272,1.632639
2024-12-27-07-45-50-687,11845013.827554,3497256.398506,60.745499,0.989900,-0.027700,0.005000,0.015298,0.000290,1.632612
2024-12-27-07-45-50-695,11845013.836260,3497256.398395,60.745499,0.989600,-0.028500,0.003600,0.015309,0.000268,1.632604
2024-12-27-07-45-50-703,11845013.844960,3497256.398291,60.745499,0.988900,-0.028100,0.005800,0.015314,0.000263,1.632597
2024-12-27-07-45-50-711,11845013.853657,3497256.398186,60.745499,0.988300,-0.028000,0.007000,0.015351,0.000278,1.632590
2024-12-27-07-45-50-719,11845013.862357,3497256.398073,60.745499,0.988400,-0.028800,0.005200,0.015380,0.000267,1.632576
2024-12-27-07-45-50-727,11845013.871037,3497256.397962,60.745602,0.986700,-0.028900,0.008100,0.015399,0.000255,1.632577
2024-12-27-07-45-50-735,11845013.879713,3497256.397838,60.745602,0.985800,-0.030100,0.005500,0.015417,0.000268,1.632550
2024-12-27-07-45-50-743,11845013.888399,3497256.397704,60.745602,0.986400,-0.031700,0.006200,0.015413,0.000277,1.632538
2024-12-27-07-45-50-751,11845013.897081,3497256.397560,60.745602,0.986500,-0.033400,0.000800,0.015401,0.000277,1.632527
2024-12-27-07-45-50-759,11845013.905768,3497256.397408,60.745602,0.987000,-0.034800,0.000900,0.015361,0.000278,1.632511
2024-12-27-07-45-50-767,11845013.914462,3497256.397247,60.745499,0.988000,-0.036000,-0.003000,0.015332,0.000275,1.632507
2024-12-27-07-45-50-775,11845013.923141,3497256.397087,60.745499,0.987100,-0.036200,-0.002100,0.015281,0.000247,1.632511
2024-12-27-07-45-50-783,11845013.931805,3497256.396922,60.745499,0.985200,-0.036500,0.001400,0.015232,0.000239,1.632499
2024-12-27-07-45-50-791,11845013.940473,3497256.396760,60.745499,0.984700,-0.036100,0.002800,0.015235,0.000235,1.632472
2024-12-27-07-45-50-799,11845013.949137,3497256.396599,60.745499,0.984300,-0.035600,0.003800,0.015227,0.000247,1.632451
2024-12-27-07-45-50-807,11845013.957799,3497256.396441,60.745499,0.984200,-0.035000,0.002700,0.015218,0.000254,1.632439
2024-12-27-07-45-50-815,11845013.966466,3497256.396279,60.745399,0.984700,-0.035300,0.002600,0.015181,0.000256,1.632436
2024-12-27-07-45-50-823,11845013.975132,3497256.396114,60.745399,0.984900,-0.035700,0.001600,0.015154,0.000236,1.632427
2024-12-27-07-45-50-831,11845013.983792,3497256.395947,60.745499,0.984500,-0.036100,0.004800,0.015132,0.000226,1.632415
2024-12-27-07-45-50-840,11845013.992450,3497256.395775,60.745499,0.984100,-0.036800,0.007700,0.015105,0.000203,1.632404
2024-12-27-07-45-50-848,11845014.001112,3497256.395605,60.745499,0.984300,-0.036700,0.009800,0.015104,0.000216,1.632368
2024-12-27-07-45-50-856,11845014.009762,3497256.395441,60.745602,0.983500,-0.036200,0.011900,0.015106,0.000206,1.632378
2024-12-27-07-45-50-864,11845014.018401,3497256.395276,60.745701,0.982000,-0.035800,0.012000,0.015114,0.000192,1.632373
2024-12-27-07-45-50-872,11845014.027032,3497256.395117,60.745701,0.980700,-0.035000,0.014200,0.015122,0.000189,1.632348
2024-12-27-07-45-50-880,11845014.035664,3497256.394962,60.745800,0.980600,-0.034200,0.012600,0.015159,0.000184,1.632319
2024-12-27-07-45-50-888,11845014.044291,3497256.394811,60.745899,0.980200,-0.033700,0.013700,0.015167,0.000177,1.632330
2024-12-27-07-45-50-896,11845014.052911,3497256.394657,60.745998,0.979500,-0.033700,0.013300,0.015189,0.000181,1.632314
2024-12-27-07-45-50-904,11845014.061544,3497256.394499,60.745998,0.980600,-0.034200,0.012400,0.015196,0.000173,1.632291
2024-12-27-07-45-50-912,11845014.070184,3497256.394342,60.745998,0.981900,-0.034500,0.006900,0.015202,0.000154,1.632289
2024-12-27-07-45-50-920,11845014.078814,3497256.394186,60.746101,0.981600,-0.034500,0.006200,0.015201,0.000139,1.632280
