gps_time,x,y,z,ve(m/s),vn(m/s),vu(m/s),roll(rad),pitch(rad),yaw(rad)
2024-12-27-07-45-18-362,11844978.678427,3497256.354856,60.734901,1.027000,-0.084200,-0.002100,0.017447,0.002635,1.630006
2024-12-27-07-45-18-370,11844978.687461,3497256.354368,60.734798,1.025400,-0.087400,-0.003500,0.017431,0.002613,1.629929
2024-12-27-07-45-18-378,11844978.696517,3497256.353875,60.734798,1.026900,-0.089200,-0.007600,0.017410,0.002601,1.629829
2024-12-27-07-45-18-386,11844978.705560,3497256.353370,60.734798,1.026400,-0.091100,-0.001600,0.017438,0.002648,1.629741
2024-12-27-07-45-18-394,11844978.714539,3497256.352860,60.734798,1.020600,-0.092100,-0.004800,0.017344,0.002611,1.629685
2024-12-27-07-45-18-402,11844978.723551,3497256.352346,60.734798,1.021000,-0.092500,0.000800,0.017341,0.002634,1.629578
2024-12-27-07-45-18-410,11844978.732573,3497256.351833,60.734798,1.022600,-0.092200,-0.008100,0.017308,0.002667,1.629505
2024-12-27-07-45-18-418,11844978.741564,3497256.351339,60.734798,1.021000,-0.089700,-0.002700,0.017162,0.002624,1.629430
2024-12-27-07-45-18-426,11844978.750572,3497256.350841,60.734798,1.021700,-0.089000,-0.003600,0.017177,0.002648,1.629338
2024-12-27-07-45-18-434,11844978.759585,3497256.350361,60.734798,1.022700,-0.086800,0.000000,0.017065,0.002626,1.629279
2024-12-27-07-45-18-442,11844978.768564,3497256.349895,60.734901,1.020100,-0.084400,0.007900,0.017030,0.002638,1.629196
2024-12-27-07-45-18-450,11844978.777526,3497256.349432,60.734901,1.017400,-0.083400,0.005100,0.017031,0.002613,1.629119
2024-12-27-07-45-18-458,11844978.786517,3497256.348985,60.735001,1.018900,-0.081600,0.008600,0.016987,0.002609,1.629043
2024-12-27-07-45-18-466,11844978.795471,3497256.348553,60.735100,1.016800,-0.079700,0.014400,0.017031,0.002592,1.628980
2024-12-27-07-45-18-474,11844978.804430,3497256.348117,60.735199,1.016300,-0.079200,0.007500,0.017034,0.002579,1.628870
2024-12-27-07-45-18-482,11844978.813387,3497256.347700,60.735298,1.016100,-0.077600,0.014100,0.017074,0.002599,1.628821
2024-12-27-07-45-18-490,11844978.822327,3497256.347280,60.735401,1.014800,-0.077400,0.008000,0.017094,0.002549,1.628736
2024-12-27-07-45-18-498,11844978.831273,3497256.346860,60.735500,1.014900,-0.077500,0.010700,0.017089,0.002544,1.628668
2024-12-27-07-45-18-506,11844978.840227,3497256.346437,60.735600,1.015800,-0.078300,0.008400,0.017142,0.002552,1.628594
2024-12-27-07-45-18-514,11844978.849181,3497256.346019,60.735600,1.016300,-0.078000,0.003100,0.017163,0.002569,1.628514
2024-12-27-07-45-18-522,11844978.858107,3497256.345599,60.735699,1.014100,-0.078200,0.003400,0.017150,0.002535,1.628465
2024-12-27-07-45-18-530,11844978.867045,3497256.345181,60.735600,1.014100,-0.077900,-0.004300,0.017192,0.002541,1.628373
2024-12-27-07-45-18-538,11844978.875979,3497256.344782,60.735699,1.013900,-0.075700,-0.001400,0.017156,0.002555,1.628314
2024-12-27-07-45-18-546,11844978.884895,3497256.344390,60.735699,1.012300,-0.074100,-0.002800,0.017182,0.002568,1.628251
2024-12-27-07-45-18-554,11844978.893815,3497256.344008,60.735699,1.012000,-0.072300,-0.002000,0.017213,0.002595,1.628160
2024-12-27-07-45-18-562,11844978.902749,3497256.343644,60.735600,1.013400,-0.069900,-0.007300,0.017197,0.002611,1.628095
2024-12-27-07-45-18-570,11844978.911669,3497256.343296,60.735600,1.012900,-0.067400,-0.005700,0.017166,0.002596,1.628063
2024-12-27-07-45-18-578,11844978.920590,3497256.342954,60.735500,1.012800,-0.066000,-0.009800,0.017131,0.002607,1.628001
2024-12-27-07-45-18-586,11844978.929501,3497256.342627,60.735600,1.011800,-0.064300,-0.003600,0.017136,0.002600,1.627953
2024-12-27-07-45-18-594,11844978.938406,3497256.342309,60.735500,1.010900,-0.062900,-0.005900,0.017103,0.002597,1.627889
2024-12-27-07-45-18-602,11844978.947313,3497256.342000,60.735500,1.010700,-0.061600,-0.000900,0.017119,0.002609,1.627826
2024-12-27-07-45-18-610,11844978.956195,3497256.341706,60.735500,1.008600,-0.059900,-0.000300,0.017182,0.002614,1.627776
2024-12-27-07-45-18-619,11844978.965100,3497256.341430,60.735600,1.009800,-0.057500,0.002300,0.017237,0.002629,1.627728
2024-12-27-07-45-18-627,11844978.973987,3497256.341153,60.735600,1.009000,-0.057000,0.001200,0.017311,0.002635,1.627677
2024-12-27-07-45-18-635,11844978.982865,3497256.340887,60.735600,1.007900,-0.055800,-0.001300,0.017370,0.002619,1.627625
2024-12-27-07-45-18-643,11844978.991765,3497256.340617,60.735600,1.009500,-0.056100,-0.002800,0.017412,0.002633,1.627575
2024-12-27-07-45-18-651,11844979.000660,3497256.340344,60.735600,1.010000,-0.056800,-0.001200,0.017409,0.002620,1.627542
2024-12-27-07-45-18-659,11844979.009529,3497256.340073,60.735600,1.007700,-0.056900,-0.004600,0.017426,0.002631,1.627487
2024-12-27-07-45-18-667,11844979.018414,3497256.339811,60.735600,1.008100,-0.056000,0.000600,0.017450,0.002640,1.627432
2024-12-27-07-45-18-675,11844979.027290,3497256.339553,60.735600,1.007700,-0.055200,-0.006300,0.017458,0.002622,1.627378
2024-12-27-07-45-18-683,11844979.036158,3497256.339320,60.735600,1.006800,-0.052200,0.001600,0.017430,0.002615,1.627360
2024-12-27-07-45-18-691,11844979.045025,3497256.339090,60.735600,1.006400,-0.050700,-0.000800,0.017445,0.002619,1.627320
2024-12-27-07-45-18-699,11844979.053893,3497256.338889,60.735699,1.006400,-0.047100,0.004700,0.017447,0.002629,1.627276
2024-12-27-07-45-18-707,11844979.062748,3497256.338705,60.735699,1.005400,-0.044100,0.001900,0.017493,0.002627,1.627245
2024-12-27-07-45-18-715,11844979.071609,3497256.338533,60.735699,1.005600,-0.041900,0.001000,0.017524,0.002626,1.627217
2024-12-27-07-45-18-725,11844979.080470,3497256.338369,60.735699,1.005800,-0.040700,0.000000,0.017481,0.002611,1.627200
2024-12-27-07-45-18-733,11844979.098180,3497256.338057,60.735802,1.005300,-0.039800,0.005800,0.017469,0.002596,1.627141
2024-12-27-07-45-18-741,11844979.107025,3497256.337915,60.735901,1.004300,-0.038600,0.008700,0.017476,0.002590,1.627108
2024-12-27-07-45-18-749,11844979.115865,3497256.337779,60.736000,1.003600,-0.037600,0.014500,0.017495,0.002580,1.627075
2024-12-27-07-45-18-757,11844979.124700,3497256.337648,60.736099,1.002900,-0.036900,0.012300,0.017488,0.002560,1.627048
2024-12-27-07-45-18-765,11844979.133527,3497256.337530,60.736301,1.002000,-0.035300,0.017000,0.017516,0.002545,1.627019
2024-12-27-07-45-18-773,11844979.142359,3497256.337426,60.736401,1.002300,-0.033400,0.011200,0.017516,0.002521,1.627015
2024-12-27-07-45-18-781,11844979.151188,3497256.337327,60.736500,1.002200,-0.032100,0.011600,0.017508,0.002518,1.626998
2024-12-27-07-45-18-789,11844979.160001,3497256.337230,60.736599,1.000900,-0.031700,0.008600,0.017482,0.002484,1.626990
2024-12-27-07-45-18-797,11844979.168836,3497256.337145,60.736698,1.002300,-0.030300,0.010000,0.017452,0.002463,1.626966
2024-12-27-07-45-18-805,11844979.177662,3497256.337074,60.736801,1.002300,-0.028600,0.010600,0.017451,0.002464,1.626951
2024-12-27-07-45-18-813,11844979.186478,3497256.337015,60.736900,1.001300,-0.026700,0.010600,0.017462,0.002463,1.626932
2024-12-27-07-45-18-821,11844979.195298,3497256.336969,60.737000,1.001300,-0.024800,0.010000,0.017485,0.002481,1.626914
2024-12-27-07-45-18-829,11844979.204121,3497256.336934,60.737099,1.001700,-0.023100,0.008900,0.017467,0.002439,1.626914
2024-12-27-07-45-18-837,11844979.212926,3497256.336918,60.737202,1.000200,-0.020600,0.009800,0.017478,0.002422,1.626904
2024-12-27-07-45-18-845,11844979.221721,3497256.336916,60.737301,0.998700,-0.018400,0.011600,0.017489,0.002410,1.626913
2024-12-27-07-45-18-853,11844979.230520,3497256.336914,60.737400,0.998500,-0.017800,0.009800,0.017526,0.002443,1.626896
2024-12-27-07-45-18-861,11844979.239319,3497256.336918,60.737400,0.998600,-0.017400,0.007800,0.017488,0.002414,1.626901
2024-12-27-07-45-18-869,11844979.248110,3497256.336927,60.737499,0.998200,-0.017000,0.002800,0.017461,0.002394,1.626902
2024-12-27-07-45-18-877,11844979.256911,3497256.336948,60.737499,0.999000,-0.015600,0.002800,0.017432,0.002395,1.626899
2024-12-27-07-45-18-885,11844979.265719,3497256.336974,60.737499,1.000000,-0.014800,-0.002500,0.017414,0.002408,1.626897
2024-12-27-07-45-18-893,11844979.274511,3497256.337017,60.737598,0.999000,-0.012700,-0.000600,0.017381,0.002380,1.626892
2024-12-27-07-45-18-901,11844979.283319,3497256.337070,60.737598,0.999900,-0.010800,-0.002500,0.017358,0.002379,1.626890
2024-12-27-07-45-18-909,11844979.292111,3497256.337146,60.737598,0.999000,-0.007900,0.000700,0.017350,0.002368,1.626905
2024-12-27-07-45-18-917,11844979.300902,3497256.337240,60.737598,0.998300,-0.005000,0.003000,0.017364,0.002373,1.626909
2024-12-27-07-45-18-925,11844979.300902,3497256.337240,60.737598,0.998300,-0.005000,0.003000,0.017364,0.002373,1.626909
2024-12-27-07-45-18-933,11844979.318432,3497256.337298,60.737598,0.997700,-0.003800,0.000500,0.017384,0.002407,1.626947
2024-12-27-07-45-18-941,11844979.318432,3497256.337298,60.737598,0.997700,-0.003800,0.000500,0.017384,0.002407,1.626947
2024-12-27-07-45-18-949,11844979.327164,3497256.337266,60.737598,0.996900,-0.003600,-0.003700,0.017368,0.002357,1.626953
2024-12-27-07-45-18-957,11844979.344638,3497256.337216,60.737598,0.996800,-0.002900,-0.000700,0.017400,0.002343,1.626967
2024-12-27-07-45-18-965,11844979.344638,3497256.337216,60.737598,0.996800,-0.002900,-0.000700,0.017400,0.002343,1.626967
2024-12-27-07-45-18-973,11844979.362133,3497256.337195,60.737598,0.998600,-0.000900,-0.004100,0.017481,0.002417,1.626995
2024-12-27-07-45-18-981,11844979.362133,3497256.337195,60.737598,0.998600,-0.000900,-0.004100,0.017481,0.002417,1.626995
2024-12-27-07-45-18-989,11844979.370844,3497256.337211,60.737598,0.995500,0.002000,-0.002800,0.017480,0.002367,1.627021
2024-12-27-07-45-18-996,11844979.388324,3497256.337248,60.737499,0.997500,0.003900,-0.006200,0.017466,0.002399,1.627038
2024-12-27-07-45-19-004,11844979.397020,3497256.337288,60.737499,0.993900,0.005700,0.000100,0.017510,0.002372,1.627084
2024-12-27-07-45-19-012,11844979.397020,3497256.337288,60.737499,0.993900,0.005700,0.000100,0.017510,0.002372,1.627084
2024-12-27-07-45-19-020,11844979.414477,3497256.337361,60.737499,0.997600,0.005900,0.001300,0.017537,0.002468,1.627114
2024-12-27-07-45-19-028,11844979.423196,3497256.337375,60.737301,0.996600,0.003200,-0.015900,0.017445,0.002441,1.627123
2024-12-27-07-45-19-036,11844979.423196,3497256.337375,60.737301,0.996600,0.003200,-0.015900,0.017445,0.002441,1.627123
2024-12-27-07-45-19-044,11844979.431914,3497256.337412,60.737301,0.995900,0.004300,-0.004600,0.017417,0.002401,1.627142
2024-12-27-07-45-19-052,11844979.440682,3497256.337429,60.737301,0.999800,0.002700,-0.009200,0.017339,0.002373,1.627192
2024-12-27-07-45-19-060,11844979.449396,3497256.337459,60.737202,0.996600,0.003500,-0.007900,0.017289,0.002450,1.627210
2024-12-27-07-45-19-068,11844979.458086,3497256.337495,60.737202,0.992800,0.004600,-0.005000,0.017281,0.002363,1.627240
2024-12-27-07-45-19-076,11844979.466803,3497256.337541,60.737202,0.993600,0.006400,0.002400,0.017232,0.002351,1.627250
2024-12-27-07-45-19-084,11844979.475496,3497256.337608,60.737202,0.992000,0.009100,0.005600,0.017257,0.002427,1.627274
2024-12-27-07-45-19-092,11844979.484194,3497256.337674,60.737202,0.992000,0.010000,0.000800,0.017272,0.002435,1.627304
2024-12-27-07-45-19-100,11844979.492890,3497256.337732,60.737202,0.992200,0.009200,-0.003400,0.017211,0.002376,1.627341
2024-12-27-07-45-19-108,11844979.510304,3497256.337839,60.737202,0.993900,0.007000,-0.001600,0.017258,0.002367,1.627384
2024-12-27-07-45-19-116,11844979.510304,3497256.337839,60.737202,0.993900,0.007000,-0.001600,0.017258,0.002367,1.627384
2024-12-27-07-45-19-126,11844979.518998,3497256.337883,60.737202,0.992800,0.005900,0.001900,0.017255,0.002426,1.627416
2024-12-27-07-45-19-134,11844979.536389,3497256.337978,60.737202,0.992900,0.006500,0.001600,0.017244,0.002386,1.627443
2024-12-27-07-45-19-142,11844979.545072,3497256.338032,60.737099,0.991600,0.007200,-0.008700,0.017209,0.002380,1.627479
2024-12-27-07-45-19-150,11844979.553730,3497256.338087,60.737202,0.988700,0.007800,0.005200,0.017192,0.002420,1.627500
2024-12-27-07-45-19-158,11844979.562432,3497256.338132,60.737099,0.991600,0.006800,-0.007500,0.017176,0.002401,1.627512
2024-12-27-07-45-19-166,11844979.571086,3497256.338180,60.737099,0.988900,0.006600,-0.001800,0.017099,0.002390,1.627549
2024-12-27-07-45-19-174,11844979.579755,3497256.338219,60.737099,0.988800,0.005600,-0.003000,0.017048,0.002405,1.627577
2024-12-27-07-45-19-182,11844979.588428,3497256.338259,60.737099,0.989400,0.005200,-0.002700,0.017053,0.002428,1.627590
2024-12-27-07-45-19-190,11844979.597106,3497256.338283,60.737000,0.990400,0.003500,-0.011100,0.016923,0.002414,1.627636
2024-12-27-07-45-19-198,11844979.605789,3497256.338324,60.736900,0.991200,0.004800,-0.005500,0.016869,0.002397,1.627645
2024-12-27-07-45-19-206,11844979.614461,3497256.338369,60.736900,0.990500,0.005700,-0.007700,0.016825,0.002370,1.627686
2024-12-27-07-45-19-214,11844979.623120,3497256.338413,60.736900,0.988900,0.006300,-0.000700,0.016754,0.002359,1.627709
2024-12-27-07-45-19-221,11844979.631770,3497256.338464,60.736900,0.987300,0.007200,0.005400,0.016784,0.002358,1.627728
2024-12-27-07-45-19-229,11844979.640425,3497256.338523,60.737000,0.987200,0.008200,0.006400,0.016808,0.002385,1.627749
2024-12-27-07-45-19-237,11844979.649049,3497256.338574,60.737000,0.984600,0.007700,0.007900,0.016808,0.002377,1.627774
2024-12-27-07-45-19-245,11844979.657707,3497256.338621,60.737000,0.986600,0.007100,0.004100,0.016823,0.002373,1.627777
2024-12-27-07-45-19-253,11844979.666357,3497256.338660,60.737000,0.987300,0.005700,0.001100,0.016808,0.002358,1.627800
2024-12-27-07-45-19-261,11844979.674991,3497256.338689,60.737099,0.986100,0.003900,0.008100,0.016813,0.002338,1.627830
2024-12-27-07-45-19-269,11844979.683874,3497256.339014,60.737099,0.986200,0.002000,0.000000,0.016851,0.002346,1.627838
